feature,group,expected_sign,suggested_sign,sign_match,status,median_corr,iqr_corr,pct_pos,pct_neg,n_weeks_used
turnover_ratio_20d,liquidity,1,0,True,UNRESOLVED,-0.003865233035100057,0.07525552704873292,0.47150259067357514,0.5284974093264249,193
ret_3m,momentum,1,1,True,PASS,0.027025124979787915,0.09321449197357187,0.6735751295336787,0.32642487046632124,193
ret_8w,momentum,1,1,True,PASS,0.020635426341606367,0.08590044490624503,0.6528497409326425,0.3471502590673575,193
adx_14,trend,1,0,True,UNRESOLVED,-0.0037562393328031546,0.07785598708234406,0.47668393782383417,0.5233160621761658,193
supertrend_state_10_3,trend,1,0,True,INSUFFICIENT,-0.008854892445350208,0.2669545199257571,0.4,0.6,15
hist_vol_20d,volatility,-1,0,True,UNRESOLVED,0.004837005805528809,0.06794163215169177,0.5492227979274611,0.45077720207253885,193
