symbol,scale_factor,median_close_raw,median_close_scaled
UNITDSPR,1.0,1422.5499877929688,1422.5499877929688
UNOMINDA,1.0,822.5999755859375,822.5999755859375
UPL,1.0,614.25,614.25
USHAMART,1.0,333.45001220703125,333.45001220703125
UTIAMC,1.0,929.4000244140625,929.4000244140625
VBL,1.0,490.32000732421875,490.32000732421875
VEDL,1.0,409.1499938964844,409.1499938964844
VENTIVE,1.0,735.4249877929688,735.4249877929688
VGUARD,1.0,344.1000061035156,344.1000061035156
VIJAYA,1.0,770.5999755859375,770.5999755859375
VMM,1.0,125.18000030517578,125.18000030517578
VOLTAS,1.0,1262.800048828125,1262.800048828125
VTL,1.0,424.3500061035156,424.3500061035156
WAAREEENER,10.0,2868.0,286.8
WELCORP,1.0,585.2000122070312,585.2000122070312
WELSPUNLIV,1.0,137.39999389648438,137.39999389648438
WHIRLPOOL,1.0,1422.25,1422.25
WIPRO,1.0,242.0,242.0
WOCKPHARMA,1.0,577.2999877929688,577.2999877929688
YESBANK,1.0,19.90999984741211,19.90999984741211
ZEEL,1.0,147.3800048828125,147.3800048828125
ZENSARTECH,1.0,626.0999755859375,626.0999755859375
ZENTEC,1.0,1016.7999877929688,1016.7999877929688
ZFCVINDIA,10.0,13387.4501953125,1338.74501953125
ZYDUSLIFE,1.0,911.25,911.25
